date,close,open,high,low,volume,symbol
2019-10-02,20.51,19.56,19.87,20.05,49992545,AABA
2019-10-04,20.51,20.51,20.51,20.51,0,AABA
2019-10-14,28.88,27.95,28.13,27.33,3343799,AAL
2019-10-15,28.83,28.02,28.45,28.14,7377748,AAL
2019-10-16,28.49,28.59,28.81,28.26,6515932,AAL
2019-10-17,28.07,29.27,28.69,27.95,7013318,AAL
2019-10-18,29.29,27.9,28.67,27.9,5876045,AAL
2019-10-14,2.6,2.6,2.6,2.6,1607,AAME
2019-10-15,2.5,2.36,2.47,2.39,6760,AAME
2019-10-16,2.57,2.4,2.59,2.29,3619,AAME
2019-10-17,2.53,2.61,2.61,2.57,471,AAME
2019-10-18,2.6,2.39,2.5,2.36,953,AAME
2019-10-14,10.79,10.83,10.78,10.29,424348,AAOI
2019-10-15,11.5,10.58,11.34,10.72,550773,AAOI
2019-10-16,11.19,11.28,11.76,11.03,491051,AAOI
2019-10-17,10.99,11,11.4,11.1,354641,AAOI
2019-10-18,11.1,11.02,10.9,10.86,342353,AAOI
2019-10-14,48.28,47.4,49.3,48.09,186352,AAON
2019-10-15,47.1,49.27,48.45,46.79,129091,AAON
2019-10-16,49.29,48.68,49.4,48.08,111768,AAON
2019-10-17,48.41,48.89,48.29,48.5,215941,AAON
2019-10-18,47.27,49.84,48.9,47.43,133365,AAON
2019-10-14,243.72,244.1,248.01,241.78,25286660,AAPL
2019-10-15,242.51,246.44,247.69,246.62,24050777,AAPL
2019-10-16,242.24,237.86,238.45,236.8,19510927,AAPL
2019-10-17,235.98,240.48,238.83,236.08,17496882,AAPL
2019-10-18,238.55,241.67,238.08,235.3,25107672,AAPL
2019-10-14,22.6,21.92,22.98,21.54,522426,AAWW
2019-10-15,22.63,22.35,22.47,21.67,1125784,AAWW
2019-10-16,22.79,23.18,23.67,23.06,500369,AAWW
2019-10-17,22.83,22.5,24.07,22.66,455915,AAWW
2019-10-18,23.47,23.01,23.75,23.2,246651,AAWW
2019-10-14,70.5,68.27,70.07,67.7,895684,AAXJ
2019-10-15,70.3,70.34,69.1,68.81,2081838,AAXJ
2019-10-16,71.11,70.74,70.61,68.19,623545,AAXJ
2019-10-17,69.84,70.77,69.94,70.73,703645,AAXJ
2019-10-18,69.54,68.91,69.82,68.84,562009,AAXJ
2019-10-14,53.78,54.23,53.96,54.42,497363,AAXN
2019-10-15,54.45,53.32,56.17,53.41,419834,AAXN
2019-10-16,53.87,53.4,54.01,52.47,673031,AAXN
2019-10-17,52.82,53,53.58,53.39,411010,AAXN
2019-10-18,52.22,52.47,52.69,51.5,1100517,AAXN
2019-10-14,40.17,40.02,41.05,40,238556,ABCB
2019-10-15,42.09,40.77,41.65,40.35,344021,ABCB
2019-10-16,42.43,41.32,43.1,42.13,282300,ABCB
2019-10-17,42.72,43.26,43.1,42.1,513995,ABCB
2019-10-18,42.11,41.89,42.81,41.61,639243,ABCB
2019-10-14,8.9,9.1,9.12,9.04,16529,ABDC
2019-10-15,9.12,9.1,8.94,8.94,12760,ABDC
2019-10-16,8.98,8.98,9.23,8.85,32426,ABDC
2019-10-17,9.03,9,9.34,8.9,13680,ABDC
2019-10-18,9.2,9.21,9.15,8.98,11385,ABDC
2019-10-14,2.24,2.26,2.35,2.1,217731,ABEO
2019-10-15,2.83,2.31,2.9,2.3,2004133,ABEO
2019-10-16,2.46,2.85,2.94,2.48,1151880,ABEO
2019-10-17,2.31,2.42,2.6,2.27,753649,ABEO
2019-10-18,2.25,2.28,2.43,2.13,600204,ABEO
2019-10-14,0.5018,0.47,0.4954,0.47,20629,ABIL
2019-10-15,0.5,0.46,0.56,0.46,139670,ABIL
2019-10-16,0.5332,0.493,0.59,0.4672,183843,ABIL
2019-10-17,0.53,0.53,0.5485,0.4757,51410,ABIL
2019-10-18,0.5163,0.5,0.5401,0.5,36171,ABIL
2019-10-14,5.24,5.42,5.45,5.18,21664,ABIO
2019-10-15,5.14,5.17,6,5.17,55810,ABIO
2019-10-16,5.32,5.13,5.77,5.17,55412,ABIO
2019-10-17,5.47,5.39,5.72,5.5,22679,ABIO
2019-10-18,5.37,5.49,5.73,5.39,9006,ABIO
2019-10-14,184.86,177.2,178.9,173,853684,ABMD
2019-10-15,179.6,180.02,179.9,180.92,611905,ABMD
2019-10-16,178.67,179.56,180.6,181.01,451864,ABMD
2019-10-17,179.54,186.31,179.9,184.3,466228,ABMD
2019-10-18,178.8,181.99,182.02,174.36,432927,ABMD
2019-10-14,34.68,34.88,35.3,33.72,261766,ABTX
2019-10-15,34.98,35.42,35.03,34,269190,ABTX
2019-10-16,36.06,34.59,36.1,34.99,264577,ABTX
2019-10-17,35.23,36.07,35.48,35.85,268315,ABTX
2019-10-18,35.8,34.74,35.33,35.62,248190,ABTX
2019-10-14,0.96,0.95,1.0107,0.92,63927,ABUS
2019-10-15,1.05,0.9609,1.08,0.917,168081,ABUS
2019-10-16,0.97,1.03,1.03,0.94,123059,ABUS
2019-10-17,0.9368,0.98,1.001,0.9,575709,ABUS
2019-10-18,0.9516,0.967,0.99,0.901,94272,ABUS
2019-10-14,40.58,40.35,41.29,40.42,936588,ACAD
2019-10-15,41.58,40.35,42.15,40.01,1260796,ACAD
2019-10-16,41.2,39.94,40.6,40.7,1280413,ACAD
2019-10-17,41.57,40.92,41.26,40.13,1349740,ACAD
2019-10-18,40.98,40.59,41.42,40.06,3107601,ACAD
2019-10-14,9.96,0,0,0,10,ACAM
2019-10-15,10.04,9.84,9.99,9.96,962,ACAM
2019-10-16,9.98,10.26,10.23,10.09,500659,ACAM
2019-10-17,10.22,9.96,10.16,9.85,152672,ACAM
2019-10-18,10.22,10.13,10.04,10.32,102215,ACAM
2019-10-14,17.25,17.07,17.27,17.1,57050,ACBI
2019-10-15,17.31,17.83,17.38,17.09,56471,ACBI
2019-10-16,17.29,17.89,18.1,17.5,53156,ACBI
2019-10-17,17.38,17.33,18.16,17.3,74324,ACBI
2019-10-18,18.11,17.67,17.75,17.33,62830,ACBI
2019-10-14,2.88,3.08,3,2.88,22624,ACER
2019-10-15,3.18,3.04,3.43,2.9,63114,ACER
2019-10-16,3.26,3.12,3.4,3.11,42197,ACER
2019-10-17,3.16,3.38,3.27,3.06,66911,ACER
2019-10-18,3,3.36,3.45,3.1,53299,ACER
2019-10-14,43.53,42.53,42.2,41.36,801041,ACGL
2019-10-15,42.8,42.59,43.23,41.86,976581,ACGL
2019-10-16,42.34,42.72,43.85,42.23,1169429,ACGL
2019-10-17,43,42.19,43.73,43.1,1478616,ACGL
2019-10-18,43.82,43.19,42.62,42.65,1095979,ACGL
2019-10-14,26.85,26.53,26.69,26.21,16056,ACGLO
2019-10-15,26.73,26.8,27.3,26.78,23256,ACGLO
2019-10-16,26.41,26.67,26.73,26.49,14986,ACGLO
2019-10-17,26.31,27.16,26.91,27.14,10836,ACGLO
2019-10-18,26.27,27.12,26.32,26.71,8629,ACGLO
2019-10-14,26.89,25.89,26.3,26,48023,ACGLP
2019-10-15,25.92,26.26,26.7,26.17,39159,ACGLP
2019-10-16,26.26,26.09,26.29,25.84,50597,ACGLP
2019-10-17,25.94,26.2,25.83,26.16,33163,ACGLP
2019-10-18,26.1,26.22,26.68,26.3,34028,ACGLP
2019-10-14,29.27,30.71,30.39,29.91,272383,ACHC
2019-10-15,29.7,29.67,30.9,29.98,573189,ACHC
2019-10-16,30.8,30.84,31.63,30.46,579474,ACHC
2019-10-17,31.87,31.84,32.24,30.51,1071376,ACHC
2019-10-18,31.6,31.82,31.31,31.43,689818,ACHC
2019-10-14,3.58,3.66,3.78,3.7,1150496,ACHN
2019-10-15,3.67,3.56,3.77,3.51,792118,ACHN
2019-10-16,6.58,6.45,6.73,6.2,48457771,ACHN
2019-10-17,6.4,6.3,6.52,6.24,22516464,ACHN
2019-10-18,6.32,6.21,6.4,6.07,6438551,ACHN
2019-10-14,1.52,1.6,1.59,1.47,65368,ACHV
2019-10-15,1.6,1.49,1.59,1.48,61620,ACHV
2019-10-16,1.63,1.54,1.66,1.55,17367,ACHV
2019-10-17,1.6,1.57,1.67,1.59,70345,ACHV
2019-10-18,1.5,1.59,1.59,1.54,80821,ACHV
2019-10-14,66.45,64.87,66.64,66.8,172250,ACIA
2019-10-15,67.5,65.3,66.03,65.7,160340,ACIA
2019-10-16,65.34,65.29,67.77,65.97,369703,ACIA
2019-10-17,65.93,67,65.57,66.81,124497,ACIA
2019-10-18,67.68,65.59,66.41,66.82,175699,ACIA
2019-10-14,5.2,5.05,5.14,4.99,31015,ACIU
2019-10-15,4.95,5.1,5.1,4.87,26230,ACIU
2019-10-16,4.97,5.03,4.99,4.8,60769,ACIU
2019-10-17,4.97,5.19,5,5.1,16746,ACIU
2019-10-18,4.81,5.08,5.18,4.99,20018,ACIU
2019-10-14,31.71,31.68,31.17,30.54,529504,ACIW
2019-10-15,31.5,31.91,32.6,31.57,537859,ACIW
2019-10-16,31.93,31.76,31.76,32.02,650010,ACIW
2019-10-17,32.62,32.02,32.4,32.05,471540,ACIW
2019-10-18,31.39,32.02,33,31.94,459701,ACIW
2019-10-14,18.15,17.94,18.83,17.61,194663,ACLS
2019-10-15,18.67,18.5,18.6,17.78,252779,ACLS
2019-10-16,18.48,18.54,18.51,18.3,185268,ACLS
2019-10-17,18.24,19.26,19.45,18.76,177671,ACLS
2019-10-18,17.86,18.67,18.42,18.3,107478,ACLS
2019-10-14,12.88,13.45,14.15,12.81,80957,ACMR
2019-10-15,13.8,12.96,13.83,13.21,48935,ACMR
2019-10-16,12.91,13.46,13.69,13.08,56553,ACMR
2019-10-17,13.8,13,13.79,13.1,28732,ACMR
2019-10-18,13.11,13.25,13.53,12.81,47083,ACMR
2019-10-14,33.72,34.71,35.38,34.5,3054,ACNB
2019-10-15,35.68,34.45,36,33.76,3431,ACNB
2019-10-16,36,34.89,35.42,34.9,5002,ACNB
2019-10-17,34.7,35.3,35.66,34.06,9830,ACNB
2019-10-18,34.75,34.81,34.41,34.77,3449,ACNB
2019-10-14,2.4,2.42,2.52,2.3,1347256,ACOR
2019-10-15,2.61,2.46,2.7,2.44,1585747,ACOR
2019-10-16,2.59,2.64,2.8,2.63,1083407,ACOR
2019-10-17,2.68,2.63,2.73,2.64,723391,ACOR
2019-10-18,2.49,2.72,2.68,2.44,902412,ACOR
2019-10-14,1.46,1.48,1.5,1.41,1332720,ACRS
2019-10-15,1.53,1.42,1.6,1.42,1028179,ACRS
2019-10-16,1.59,1.67,1.71,1.5,1194215,ACRS
2019-10-17,1.7,1.61,1.74,1.5,927625,ACRS
2019-10-18,1.69,1.67,1.75,1.63,815818,ACRS
2019-10-14,2.23,2.22,2.3,2.21,255095,ACRX
2019-10-15,2.3,2.22,2.28,2.24,392657,ACRX
2019-10-16,2.2,2.3,2.25,2.28,383094,ACRX
2019-10-17,2.25,2.3,2.31,2.29,313188,ACRX
2019-10-18,2.23,2.3,2.26,2.2,317468,ACRX
2019-10-14,2.27,2.17,2.21,2.13,668741,ACST
2019-10-15,2.23,2.26,2.28,2.14,750645,ACST
2019-10-16,2.14,2.24,2.19,2.12,463025,ACST
2019-10-17,2.19,2.17,2.29,2.12,726238,ACST
2019-10-18,2.08,2.2,2.2,2.05,1480294,ACST
2019-10-14,23.47,23.5,24.33,24.13,2386,ACT
2019-10-15,23.93,24.2,24.3,24.37,852,ACT
2019-10-16,23.58,24.17,24.63,24,3530,ACT
2019-10-17,24.65,24.3,24.49,24.64,1348,ACT
2019-10-18,23.9,24.32,24.73,23.97,756,ACT
2019-10-14,2.64,2.81,2.84,2.6,29471,ACTG
2019-10-15,2.7,2.7,2.84,2.68,58191,ACTG
2019-10-16,2.82,2.81,2.8,2.7,22467,ACTG
2019-10-17,2.73,2.7,2.81,2.72,72160,ACTG
2019-10-18,2.8,2.73,2.83,2.65,49179,ACTG
2019-10-14,10.4,10.16,10.2,10.1,5057,ACTT
2019-10-15,9.9,10.1,10,10,212,ACTT
2019-10-16,10.1,0,0,0,3,ACTT
2019-10-17,9.99,10.24,10.13,10.23,1850,ACTT
2019-10-18,10.4,10,10.03,10,5240,ACTT
2019-10-14,77.36,76.96,76.42,75.98,1217542,ACWI
2019-10-15,77.09,74.11,76.4,77.44,2918063,ACWI
2019-10-16,77.19,75.93,75.08,74.96,3079239,ACWI
2019-10-17,75.33,77.68,78.42,75.68,1966123,ACWI
2019-10-18,75.85,75.88,76.33,76.85,1527020,ACWI
2019-10-14,47.87,47,46.81,47.58,987543,ACWX
2019-10-15,47.73,47.89,46.97,48.22,1060960,ACWX
2019-10-16,47.12,47.87,47.9,48.5,1042078,ACWX
