date,close,open,high,low,volume,symbol
2019-10-28,31.46,31.46,31.46,31.46,2,AAL
2019-10-28,2.12,2.12,2.12,2.12,95,AAME
2019-10-28,10.14,10.14,10.14,10.14,100,AAOI
2019-10-28,49.205,49.205,49.205,49.205,100,AAON
2019-10-28,248.92,248.92,248.92,248.92,1,AAPL
2019-10-28,25.68,25.68,25.68,25.68,38,AAWW
2019-10-28,69.675,69.675,69.675,69.675,31,AAXJ
2019-10-28,54.6999,54.6999,54.6999,54.6999,21,AAXN
2019-10-28,44.22,44.22,44.22,44.22,100,ABCB
2019-10-28,8.95,8.95,8.95,8.95,100,ABDC
2019-10-28,2.56,2.56,2.56,2.56,2,ABEO
2019-10-28,0.27,0.27,0.27,0.27,689,ABEOW
2019-10-28,0.48,0.48,0.48,0.48,2,ABIL
2019-10-28,5.14,5.14,5.14,5.14,17,ABIO
2019-10-28,183.79,183.79,183.79,183.79,100,ABMD
2019-10-28,33.54,33.54,33.54,33.54,100,ABTX
2019-10-28,0.8846,0.8846,0.8846,0.8846,100,ABUS
2019-10-28,42.17,42.17,42.17,42.17,100,ACAD
2019-10-28,9.875,9.875,9.875,9.875,1,ACAM
2019-10-24,10.12,10.12,10.12,10.12,100,ACAMU
2019-10-24,0.75,0.75,0.75,0.75,100,ACAMW
2019-10-28,18.87,18.87,18.87,18.87,10,ACBI
2019-10-28,3.39,3.39,3.39,3.39,3,ACER
2019-10-28,40.71,40.71,40.71,40.71,2,ACGL
2019-10-28,26.15,26.15,26.15,26.15,8,ACGLO
2019-10-28,25.63,25.63,25.63,25.63,17,ACGLP
2019-10-28,30.6,30.6,30.6,30.6,100,ACHC
2019-10-28,6.275,6.275,6.275,6.275,700,ACHN
2019-10-28,1.45,1.45,1.45,1.45,100,ACHV
2019-10-28,65.06,65.06,65.06,65.06,56,ACIA
2019-10-28,5.695,5.695,5.695,5.695,100,ACIU
2019-10-28,31.785,31.785,31.785,31.785,300,ACIW
2019-10-28,20.54,20.54,20.54,20.54,95,ACLS
2019-10-28,13.69,13.69,13.69,13.69,53,ACMR
2019-10-28,34.95,34.95,34.95,34.95,16,ACNB
2019-10-28,1.975,1.975,1.975,1.975,400,ACOR
2019-10-28,1.67,1.67,1.67,1.67,5,ACRS
2019-10-28,2.205,2.205,2.205,2.205,61,ACRX
2019-10-28,1.86,1.86,1.86,1.86,200,ACST
2019-10-28,23.78,23.78,23.78,23.78,1,ACT
2019-10-28,2.55,2.55,2.55,2.55,5,ACTG
2019-10-28,9.8526,9.8526,9.8526,9.8526,1,ACTT
2019-10-24,10.43,10.43,10.43,10.43,20,ACTTU
2019-10-28,0.88,0.88,0.88,0.88,800,ACTTW
2019-10-28,75.84,75.84,75.84,75.84,100,ACWI
2019-10-28,47.57,47.57,47.57,47.57,200,ACWX
2019-10-28,0.8957,0.8957,0.8957,0.8957,100,ADAP
2019-10-28,271.28,271.28,271.28,271.28,300,ADBE
2019-10-28,14.07,14.07,14.07,14.07,25,ADES
2019-10-28,108.92,108.92,108.92,108.92,75,ADI
2019-10-28,1.635,1.635,1.635,1.635,3,ADIL
2019-10-25,0.2001,0.2001,0.2001,0.2001,2000,ADILW
2019-10-28,4.73,4.73,4.73,4.73,5,ADMA
2019-10-28,0.743,0.743,0.743,0.743,100,ADMP
2019-10-28,3.98,3.98,3.98,3.98,100,ADMS
2019-10-28,162.44,162.44,162.44,162.44,100,ADP
2019-10-28,26.1,26.1,26.1,26.1,78,ADPT
2019-10-28,31.9174,31.9174,31.9174,31.9174,348,ADRA
2019-10-25,21.5,21.5,21.5,21.5,100,ADRD
2019-10-28,40.8066,40.8066,40.8066,40.8066,32,ADRE
2019-10-28,0.985,0.985,0.985,0.985,100,ADRO
2019-10-28,20.92,20.92,20.92,20.92,94,ADRU
2019-10-28,146.99,146.99,146.99,146.99,100,ADSK
2019-10-28,9.43,9.43,9.43,9.43,1,ADTN
2019-10-28,84.05,84.05,84.05,84.05,1,ADUS
2019-10-28,7.275,7.275,7.275,7.275,209,ADVM
2019-10-28,0.2995,0.2995,0.2995,0.2995,50,ADXS
2019-10-28,21.74,21.74,21.74,21.74,20,AEGN
2019-10-28,1.77,1.77,1.77,1.77,96,AEHR
2019-10-28,61.6,61.6,61.6,61.6,30,AEIS
2019-10-28,4.69,4.69,4.69,4.69,200,AEMD
2019-10-28,22.565,22.565,22.565,22.565,100,AERI
2019-10-28,4.69,4.69,4.69,4.69,100,AESE
2019-10-28,2.1,2.1,2.1,2.1,96,AEY
2019-10-28,3.26,3.26,3.26,3.26,100,AEYE
2019-10-28,1.02,1.02,1.02,1.02,5,AEZS
2019-10-28,0.5899,0.5899,0.5899,0.5899,200,AFH
2019-10-16,7.11,7.11,7.11,7.11,200,AFHBL
2019-10-28,14.46,14.46,14.46,14.46,6,AFIN
2019-10-28,25.41,25.41,25.41,25.41,14,AFINP
2019-10-28,2.76,2.76,2.76,2.76,200,AFMD
2019-10-28,26.91,26.91,26.91,26.91,100,AFYA
2019-10-28,9.95,9.95,9.95,9.95,1000,AGBA
2019-10-25,0.17,0.17,0.17,0.17,1,AGBAR
2019-10-28,10.22,10.22,10.22,10.22,1000,AGBAU
2019-10-28,2.425,2.425,2.425,2.425,41,AGEN
2019-10-28,2.2452,2.2452,2.2452,2.2452,998,AGFS
2019-10-28,0.0107,0.0107,0.0107,0.0107,100,AGFSW
2019-10-28,32.68,32.68,32.68,32.68,255,AGIO
2019-10-28,7.73,7.73,7.73,7.73,5,AGLE
2019-10-28,21.3,21.3,21.3,21.3,100,AGMH
2019-10-28,16.64,16.64,16.64,16.64,100,AGNC
2019-10-28,25.15,25.15,25.15,25.15,16,AGNCB
2019-10-28,25.32,25.32,25.32,25.32,18,AGNCM
2019-10-28,25.7,25.7,25.7,25.7,9,AGNCN
2019-10-28,41.2114,41.2114,41.2114,41.2114,11,AGND
2019-10-28,0.4604,0.4604,0.4604,0.4604,100,AGRX
2019-10-28,2.94,2.94,2.94,2.94,100,AGTC
2019-10-28,24.235,24.235,24.235,24.235,79,AGYS
2019-10-28,47.8819,47.8819,47.8819,47.8819,16,AGZD
2019-10-28,1.14,1.14,1.14,1.14,427,AHPI
2019-10-28,61.6901,61.6901,61.6901,61.6901,3000,AIA
2019-10-28,0.306799,0.306799,0.306799,0.306799,10,AIHS
2019-10-28,31,31,31,31,3,AIMC
2019-10-28,28.48,28.48,28.48,28.48,2,AIMT
2019-10-28,15.975,15.975,15.975,15.975,45,AINV
2019-10-28,16.34,16.34,16.34,16.34,100,AIQ
2019-10-28,10.88,10.88,10.88,10.88,5,AIRG
2019-10-28,28.061,28.061,28.061,28.061,100,AIRR
2019-10-28,18.96,18.96,18.96,18.96,1,AIRT
2019-10-25,2.45,2.45,2.45,2.45,100,AIRTP
2019-10-23,0.061,0.061,0.061,0.061,100,AIRTW
2019-10-28,89.5663,89.5663,89.5663,89.5663,85,AKAM
2019-10-28,4.02,4.02,4.02,4.02,100,AKBA
2019-10-28,18.55,18.55,18.55,18.55,37,AKCA
2019-10-28,0.40671,0.40671,0.40671,0.40671,10,AKER
2019-10-28,20.555,20.555,20.555,20.555,100,AKRO
2019-10-28,4.74,4.74,4.74,4.74,100,AKRX
2019-10-28,8.38,8.38,8.38,8.38,140,AKTS
2019-10-28,1.83,1.83,1.83,1.83,800,AKTX
2019-10-28,10.27,10.27,10.27,10.27,200,ALAC
2019-10-24,0.249951,0.249951,0.249951,0.249951,5000,ALACR
2019-10-28,0.11,0.11,0.11,0.11,100,ALACW
2019-10-28,18,18,18,18,100,ALBO
2019-10-28,31.66,31.66,31.66,31.66,1,ALCO
2019-10-21,18.88,18.88,18.88,18.88,200,ALDR
2019-10-28,6.08,6.08,6.08,6.08,100,ALDX
