date,close,open,high,low,volume,symbol
2019-10-21,28.62,28.51,28.91,28.51,5994298,AAL
2019-10-21,10.84,10.99,11.25,10.73,386210,AAOI
2019-10-21,48,47.82,48.605,47.74,113185,AAON
2019-10-21,240.42,238.3659,240.88,238.32,17636379,AAPL
2019-10-21,22.56,23.14,23.87,23.13,889849,AAWW
2019-10-21,68.77,68.45,68.65,68.45,498782,AAXJ
2019-10-21,52.315,51.06,52.182,50.57,477393,AAXN
2019-10-21,41.85,42.04,42.35,41.81,479344,ABCB
2019-10-21,8.8947,8.8871,8.9278,8.86,9222,ABDC
2019-10-21,2.26,2.18,2.2338,2.115,347323,ABEO
2019-10-21,5.39,5.4,5.42,5.22,8754,ABIO
2019-10-21,175.97,176.48,177.58,175.3,444148,ABMD
2019-10-21,35.72,35.4,35.75,35.195,169288,ABTX
2019-10-21,43.24,40.75,43.09,40.37,2204266,ACAD
2019-10-21,17.745,17.72,17.85,17.655,51223,ACBI
2019-10-21,3.14,3.05,3.2,3.03,38780,ACER
2019-10-21,42.59,42.46,42.72,42.25,690374,ACGL
2019-10-21,26.11,26.1827,26.22,26.1442,15781,ACGLO
2019-10-21,25.56,25.55,25.5756,25.55,21548,ACGLP
2019-10-21,30.88,30.88,31.5,30.87,445913,ACHC
2019-10-21,6.13,6.11,6.15,6.09,3180721,ACHN
2019-10-21,1.49,1.52,1.52,1.45,51162,ACHV
2019-10-21,64.81,65.0917,65.33,64.94,335910,ACIA
2019-10-21,5.2,4.805,4.8362,4.77,42205,ACIU
2019-10-21,31.225,31.28,31.44,31.1,231977,ACIW
2019-10-21,18.31,18.23,18.29,18.01,82739,ACLS
2019-10-21,13.24,12.85,12.91,12.66,39515,ACMR
2019-10-21,33.99,34.4699,34.4699,33.95,5108,ACNB
2019-10-21,2.38,2.48,2.52,2.32,838542,ACOR
2019-10-21,1.41,1.61,1.62,1.52,796329,ACRS
2019-10-21,2.19,2.23,2.23,2.18,316887,ACRX
2019-10-21,1.98,2.01,2.02,1.93,852517,ACST
2019-10-21,23.72,23.585,23.5907,23.585,4371,ACT
2019-10-21,2.7,2.7,2.7,2.68,38485,ACTG
2019-10-21,10.37,10.37,10.37,10.37,200,ACTTU
2019-10-21,74.99,74.85,74.94,74.8,794213,ACWI
2019-10-21,47.11,47.05,47.11,47.02,711604,ACWX
2019-10-21,266.84,264.36,266.23,262.57,2388650,ADBE
2019-10-21,13.98,14.0228,14.1,13.8,69037,ADES
2019-10-21,111.11,110.47,111.48,109.985,1067794,ADI
2019-10-21,1.58,1.629,1.629,1.51,44806,ADIL
2019-10-21,4.77,4.45,4.664,4.42,678035,ADMA
2019-10-21,4.01,4.01,4.12,3.96,261614,ADMS
2019-10-21,162.03,163.48,163.77,161.8,1242520,ADP
2019-10-21,26.3,28.7286,29.24,27.1445,682752,ADPT
2019-10-21,21.379,21.3786,21.3786,21.3786,588,ADRD
2019-10-21,39.67,39.42,39.42,39.41,3062,ADRE
2019-10-21,141.5,140.42,142.05,139.2,1401164,ADSK
2019-10-21,9.41,9.72,9.84,9.66,218757,ADTN
2019-10-21,84.48,86.24,86.49,85.17,78469,ADUS
2019-10-21,7.08,6.93,7.04,6.81,645881,ADVM
2019-10-21,21.71,21.81,21.96,21.71,50994,AEGN
2019-10-21,1.82,1.8,1.86,1.79,54022,AEHR
2019-10-21,53.42,53.8,54.43,53.47,156697,AEIS
2019-10-21,4.58,4.78,4.94,4.7489,14980,AEMD
2019-10-21,19.59,20.49,20.66,19.52,1103798,AERI
2019-10-21,4.46,4.5,4.64,4.41,20085,AESE
2019-10-21,2.13,2.0427,2.0427,2.0108,104241,AEY
2019-10-21,3.1,3,3.23,3,24392,AEYE
2019-10-21,1.05,1.09,1.12,1.06,158278,AEZS
2019-10-21,14.45,14.22,14.73,14.21,681529,AFIN
2019-10-21,25.408,25.412,25.4236,25.36,164911,AFINP
2019-10-21,2.95,2.94,2.97,2.9,186203,AFMD
2019-10-21,25.3,25.145,25.96,25.08,83024,AFYA
2019-10-21,2.56,2.65,2.7,2.58,988437,AGEN
2019-10-21,2.31,2.33,2.37,2.24,38237,AGFS
2019-10-21,33.42,32.99,33.51,32.54,869551,AGIO
2019-10-21,7.79,7.71,7.85,7.65,47318,AGLE
2019-10-21,19,18.9,18.95,18.9,1179,AGMH
2019-10-21,16.65,16.48,16.65,16.46,2636085,AGNC
2019-10-21,25.679,25.669,25.7,25.665,3250,AGNCB
2019-10-21,25.2,25.28,25.29,25.2242,43913,AGNCM
2019-10-21,25.71,25.72,25.7316,25.63,54754,AGNCN
